geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
01000US,United States,131332360,130190,85685870,259497,45646492,154839
04000US34,New Jersey,3538457,8891,2255452,14325,1283005,14984
50000US3407,"Congressional District 7, NJ",298608,4599,234408,4702,64200,4030
