geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
01000US,United States,131332360,130190,6963573,51682,4578695,38019,3911930,31826,4523389,41367,4153110,41094,4718247,40370,4483017,36131,4781455,40244,4308699,39571,8783865,58420,12347400,69976,16682685,71844,13423945,61195,9460569,56394,11941011,58662,16270770,74470
04000US34,New Jersey,3538457,8891,152706,6554,97568,6129,84472,6571,94547,5308,85039,5624,98105,6291,92968,6498,96664,5942,91503,4879,187238,7243,279386,9946,412151,10967,364006,11446,275075,9206,403415,10570,723614,11561
50000US3407,"Congressional District 7, NJ",298608,4599,8573,1908,3320,940,4214,1241,5092,1107,4907,1227,4961,1215,5907,1494,6084,1334,4751,1010,12100,1884,19779,2133,29899,3275,30125,2992,24506,2241,41876,2989,92514,3286
