geoid,name,B16007001,"B16007001, Error",B16007002,"B16007002, Error",B16007003,"B16007003, Error",B16007004,"B16007004, Error",B16007005,"B16007005, Error",B16007006,"B16007006, Error",B16007007,"B16007007, Error",B16007008,"B16007008, Error",B16007009,"B16007009, Error",B16007010,"B16007010, Error",B16007011,"B16007011, Error",B16007012,"B16007012, Error",B16007013,"B16007013, Error",B16007014,"B16007014, Error",B16007015,"B16007015, Error",B16007016,"B16007016, Error",B16007017,"B16007017, Error",B16007018,"B16007018, Error",B16007019,"B16007019, Error"
01000US,United States,316581180,19409,54314740,27651,42430904,72015,8181135,59628,1739935,36345,1274054,21744,688709,24086,202959410,25689,153112830,153683,30525712,91639,8475265,83090,7985760,48941,2859828,48310,59307056,25771,49928320,44716,4662887,21265,2196569,29961,2086524,17766,432754,12455
04000US34,New Jersey,8772313,1910,1490637,1726,1024617,13575,281017,10515,101154,7527,52108,4222,31741,5156,5634899,1856,3602147,21631,1057537,13797,527484,16142,316348,9455,131383,9460,1646777,1539,1224730,8386,179064,3592,140568,6693,82307,3135,20108,2699
50000US3407,"Congressional District 7, NJ",742795,10516,125189,4368,99144,4872,11717,2651,9141,1780,3950,973,1237,745,468962,8157,350336,8117,54262,4812,36101,4423,23056,3055,5207,1904,148644,4646,122295,4533,8996,2020,12324,2140,4046,1160,983,594
